variant_key,variant_label,year,strategy,total_return,CAGR,max_drawdown,Sharpe ratio,Sortino ratio,annual_volatility,win_rate,exposure_ratio,turnover,number_of_allocation_changes,return_max_drawdown_ratio
B_Upside_Capture_v2,Upside Capture v2,2019,Buy & Hold,0.8716174456068169,0.8716174456068169,-0.4898281300068478,1.2593792205944576,1.8410862647454518,0.6792177791831441,0.5205479452054794,1.0,0.0,0,1.779435259454437
B_Upside_Capture_v2,Upside Capture v2,2020,Allocation Strategy,1.538960023047236,1.5325046163005993,-0.12880807759544477,2.7111163558472686,3.813621490872759,0.36781129939327917,0.5628415300546448,0.5103825136612022,14.6,71,11.94769809297783
B_Upside_Capture_v2,Upside Capture v2,2020,Buy & Hold,3.031600901707659,3.0162729798514,-0.5186169126186413,2.3245873796607124,2.562460922756376,0.7194296929899909,0.5628415300546448,1.0,0.0,0,5.8455496300733065
B_Upside_Capture_v2,Upside Capture v2,2021,Allocation Strategy,0.7289131045323509,0.7289131045323509,-0.3163405558999943,1.4351718309603603,2.1765919076763423,0.45295045241197673,0.5123287671232877,0.5232876712328767,10.25,67,2.3042037795583328
B_Upside_Capture_v2,Upside Capture v2,2021,Buy & Hold,0.5966792379843284,0.5966792379843284,-0.5306185040984173,0.983864801419826,1.5210959895220248,0.8030283847010404,0.5123287671232877,1.0,0.0,0,1.1244976068035095
B_Upside_Capture_v2,Upside Capture v2,2022,Allocation Strategy,-0.4225297155338016,-0.4225297155338016,-0.45876442912229665,-1.4654105812318456,-1.7278941512988895,0.335634760574323,0.4657534246575342,0.4724657534246575,12.100000000000001,73,-0.9210167325792479
B_Upside_Capture_v2,Upside Capture v2,2022,Buy & Hold,-0.6426524216644376,-0.6426524216644376,-0.6689381539248924,-1.2982244976361634,-1.6748235424353288,0.6345372157572284,0.4657534246575342,1.0,0.0,0,-0.9607052877665486
B_Upside_Capture_v2,Upside Capture v2,2023,Allocation Strategy,0.7695215592171205,0.7695215592171205,-0.12393959661413056,2.5657247159897754,4.6576937669186425,0.23297304573732056,0.4986301369863014,0.36972602739726024,5.85,48,6.208843503121311
B_Upside_Capture_v2,Upside Capture v2,2023,Buy & Hold,1.554174194122552,1.554174194122552,-0.2005777334291322,2.3637427790985868,3.984779385226617,0.4370562773431199,0.4986301369863014,1.0,0.0,0,7.748488167415005
B_Upside_Capture_v2,Upside Capture v2,2024,Allocation Strategy,0.2567246329282813,0.25594025298765444,-0.2270681221462808,0.9205320706117008,1.2507332597744594,0.29476760416150805,0.5218579234972678,0.5155737704918033,11.1,45,1.1306062273369015
B_Upside_Capture_v2,Upside Capture v2,2024,Buy & Hold,1.21054746592571,1.2057616836679736,-0.26182033008476613,1.745606375102204,2.905598250410992,0.5347703246111739,0.5218579234972678,1.0,0.0,0,4.623580856130565
B_Upside_Capture_v2,Upside Capture v2,2025,Allocation Strategy,0.23153159074969776,0.23153159074969776,-0.16943587415823513,0.9254659233043169,1.5231358262044996,0.2617366324637557,0.4986301369863014,0.6035616438356165,11.2,43,1.366485060498297
B_Upside_Capture_v2,Upside Capture v2,2025,Buy & Hold,-0.06336749968935496,-0.06336749968935496,-0.3214698048461443,0.05276454068227213,0.07734213273556449,0.41863119762474554,0.4986301369863014,1.0,0.0,0,-0.19711804572028993
B_Upside_Capture_v2,Upside Capture v2,2026,Allocation Strategy,-0.056146023479608065,-0.13712905913670503,-0.24299672906438752,-0.25103983768982296,-0.35512219395109534,0.34694238879483624,0.48951048951048953,0.7524475524475526,6.049999999999999,35,-0.23105670473749831
B_Upside_Capture_v2,Upside Capture v2,2026,Buy & Hold,-0.12030446928122318,-0.27903972824518386,-0.35311531742601765,-0.38043148271428834,-0.5165109858268457,0.5122147247675745,0.48951048951048953,1.0,0.0,0,-0.3406945644787232
C_Trend_Preserving_v2,Trend-Preserving v2,2019,Allocation Strategy,0.5573744705644812,0.5573744705644812,-0.1679381883456954,1.9025740693874325,2.252509159728142,0.24928412892342525,0.4821917808219178,0.25452054794520546,12.45,61,3.3189263029153535
C_Trend_Preserving_v2,Trend-Preserving v2,2019,Buy & Hold,0.8716174456068169,0.8716174456068169,-0.4898281300068478,1.2593792205944576,1.8410862647454518,0.6792177791831441,0.5205479452054794,1.0,0.0,0,1.779435259454437
C_Trend_Preserving_v2,Trend-Preserving v2,2020,Allocation Strategy,1.908721500776812,1.9002483969750057,-0.1384823461578194,2.9020459305751176,4.1962368603306315,0.3936990127586325,0.5519125683060109,0.5385245901639343,16.75,72,13.783139538967408
C_Trend_Preserving_v2,Trend-Preserving v2,2020,Buy & Hold,3.031600901707659,3.0162729798514,-0.5186169126186413,2.3245873796607124,2.562460922756376,0.7194296929899909,0.5628415300546448,1.0,0.0,0,5.8455496300733065
C_Trend_Preserving_v2,Trend-Preserving v2,2021,Allocation Strategy,0.9780090280385108,0.9780090280385108,-0.3666813238646499,1.5926937991313044,2.360067657289469,0.5099631486551574,0.5013698630136987,0.5842465753424657,12.099999999999998,70,2.667190730443406
C_Trend_Preserving_v2,Trend-Preserving v2,2021,Buy & Hold,0.5966792379843284,0.5966792379843284,-0.5306185040984173,0.983864801419826,1.5210959895220248,0.8030283847010404,0.5123287671232877,1.0,0.0,0,1.1244976068035095
C_Trend_Preserving_v2,Trend-Preserving v2,2022,Allocation Strategy,-0.4610468517980547,-0.4610468517980547,-0.49874501041645514,-1.455923497376079,-1.697183728313766,0.3753335261996192,0.4602739726027397,0.5150684931506848,13.399999999999999,74,-0.924413963385975
C_Trend_Preserving_v2,Trend-Preserving v2,2022,Buy & Hold,-0.6426524216644376,-0.6426524216644376,-0.6689381539248924,-1.2982244976361634,-1.6748235424353288,0.6345372157572284,0.4657534246575342,1.0,0.0,0,-0.9607052877665486
C_Trend_Preserving_v2,Trend-Preserving v2,2023,Allocation Strategy,0.7734457447451497,0.7734457447451497,-0.11380886965110082,2.6281296951019146,4.954628959200729,0.22780688183564005,0.4986301369863014,0.3019178082191781,6.500000000000001,48,6.7960058571556905
C_Trend_Preserving_v2,Trend-Preserving v2,2023,Buy & Hold,1.554174194122552,1.554174194122552,-0.2005777334291322,2.3637427790985868,3.984779385226617,0.4370562773431199,0.4986301369863014,1.0,0.0,0,7.748488167415005
C_Trend_Preserving_v2,Trend-Preserving v2,2024,Allocation Strategy,0.28774459830576404,0.2868551222715281,-0.24030871687751343,0.9625884723574758,1.3125441060241996,0.31271989859564053,0.5218579234972678,0.5252732240437158,13.299999999999999,48,1.197395591989403
C_Trend_Preserving_v2,Trend-Preserving v2,2024,Buy & Hold,1.21054746592571,1.2057616836679736,-0.26182033008476613,1.745606375102204,2.905598250410992,0.5347703246111739,0.5218579234972678,1.0,0.0,0,4.623580856130565
C_Trend_Preserving_v2,Trend-Preserving v2,2025,Allocation Strategy,0.2623789418048841,0.2623789418048841,-0.17591067015019923,0.9910623992726849,1.6253713147816415,0.2721335815101297,0.4986301369863014,0.6223287671232877,12.250000000000002,41,1.4915464853886062
